Risk
2.1610034
2.1118064
2.1324508
2.1571214
2.0199988
2.0716238
2.1110249
1.819712
1.9165057
1.7709982
1.957258
2.1075065
1.9614059
1.8607032
2.1130147
2.069594
2.0946827
1.8175149
2.2306743
2.0852635
1.9349532
2.063765
2.0023134
1.9362476
1.5471859
1.4507085
1.856253
1.9390248
1.7926818
2.106831
2.1324508
1.8208606
1.8421068
2.1044216
2.1323032
1.7880431
1.9623913
1.9411217
2.1033647
1.8138367
1.9602839
1.9642476
2.0610948
1.6308166
2.1315176
2.1459415
1.9884033
2.2053056
2.138437
1.7339882
1.9582415
1.7584069
1.8791494
2.0050147
2.109391
2.1128669
1.9079608
2.1348925
2.1040359
2.067446
1.7197192
